shot_id,timestamp,lot,wafer,equipment,chamber,emc_lot,floor_time_h,viscosity_index,vent_pm_age,pm_event,pump_down_time_s,vacuum_base_kpa_abs,center_temp_c,edge_temp_c,zone_range_c,closing_speed_mm_s,gel_time_s,fill_time_s,process_margin_s,film_tension_delta_n,cycle_time_s,warpage_um,trace_vacuum_min_kpa,trace_temp_range_c,trace_rows,cycle_time_index,edge_void_pct,chip_offset_p95_um,defect_die_rate_pct
S001,2026-03-02 08:00:00,L01,W01,EQ01,EQ01_C2,M03,20.13276967076833,1.1153103673040876,1,0,5.702820657137106,4.433039141793081,173.45158292767454,174.07166097252792,1.0111078653930543,0.85,24.643768120596068,8.826241469216349,10.114705994242613,0.5428677963545975,104.789868303505,881.7091593153202,4.064555241180147,9.048540961958821,61,100.33907484595565,1.364402062938742,35.516677203294975,14.95601173020528
S002,2026-03-02 10:00:00,L01,W02,EQ02,EQ02_C1,M04,2.0,1.034513598521951,1,0,5.601088089592906,4.472804583363947,172.67424598506898,173.51436744921654,1.5481236095980937,1.0,26.754167198636026,8.338054394087802,12.815024714955314,0.1192136438852609,103.57484967864464,812.3286311172012,4.096652326045574,8.65486851336945,61,99.17566232609265,1.3824610707401668,33.92076942871413,15.835777126099707
S003,2026-03-02 12:00:00,L01,W03,EQ02,EQ02_C2,M01,10.181948666234156,0.970809581764182,1,0,6.053223484512049,4.556209623627854,172.4335020748392,174.38507869467065,2.3540574722952425,1.15,26.391635892727592,7.918238327056726,12.420174081158816,-0.2113762525573096,103.61059292547952,784.7921946014316,4.163207138814505,9.42744424640037,61,99.20988743179672,1.6371284114588194,37.2401713027255,18.475073313782993
S004,2026-03-02 14:00:00,L01,W04,EQ01,EQ01_C1,M02,2.0,0.9841278240965552,1,0,5.303160713698382,4.456014861517041,172.5529873323018,173.8687382884563,2.276711313215257,0.85,26.740329481738343,8.30151129638622,13.135657471653744,-0.2998244650729763,103.14413963972562,780.6592839488973,4.009268347746957,8.941603560426643,61,98.76324605406501,1.4072772982726272,34.08929642675359,15.249266862170089
S005,2026-03-02 16:00:00,L01,W05,EQ01,EQ01_C2,M03,20.399999537759868,1.1076558326863446,2,0,5.54683709623118,4.583745344255316,172.5514529082796,173.39992570582672,1.863427799877587,1.0,25.613107734640455,8.630623330745378,11.4356473076639,0.5178240264165594,104.67050417681102,768.9750459335061,4.15385161211549,8.445698228073297,61,100.22478053262014,1.4698046362173058,37.33370906239361,16.129032258064516
S006,2026-03-02 18:00:00,L01,W06,EQ02,EQ02_C1,M04,2.0,1.0644380551638584,2,0,5.77183666760809,4.3866747091493545,172.78341038469495,172.98440939193446,1.1353833639323532,1.15,27.522606381695027,8.292752220655434,13.458017493431502,0.1224749590871744,104.197789845033,743.5550193764971,3.972096225960404,7.994302892417124,61,99.77214403746152,1.375130079497155,34.110901736063475,13.48973607038123
S007,2026-03-02 20:00:00,L02,W01,EQ01,EQ01_C1,M04,2.0,1.039421743791325,2,0,5.276960233748131,4.439167565608664,174.0594664280532,175.2814956244499,1.864413217816226,0.85,24.191831344547666,8.5226869751653,10.392184135634231,0.2491797278161188,103.02615733521633,839.9343806573481,4.090599949474643,10.199663341236857,61,98.6502748720766,1.4234540921274355,40.100248730259125,15.835777126099707
S008,2026-03-02 22:00:00,L02,W02,EQ01,EQ01_C2,M01,8.922820046190221,0.9891865769814548,3,0,5.876799254845426,4.498920308001287,172.43945315712398,172.9535979351827,1.4239175451830102,1.0,28.467282993985084,8.156746307925818,14.43373743121384,0.6398203016939363,103.8955870358932,792.8023278004589,4.213813599906598,8.062168157681128,61,99.4827768421797,1.4060589348445147,37.7247350260132,15.542521994134898
S009,2026-03-03 00:00:00,L02,W03,EQ02,EQ02_C1,M02,12.818984282727737,0.9946598237582543,3,0,5.408360495267719,4.85812199512295,172.71049902509125,173.25734911022485,1.4986728071289142,1.15,27.626843790173965,8.013639295033018,14.204843999873228,-0.1103591806714245,103.32887305585692,800.2923710271234,4.493169174078752,8.354712313953655,61,98.94013319370775,1.4026576167170062,39.342413315966226,15.835777126099707
S010,2026-03-03 02:00:00,L02,W04,EQ02,EQ02_C2,M03,25.454216687005506,1.255844312106413,2,0,6.034355300295123,5.354785022342928,173.5107917018088,175.1527419201593,3.21588731355278,0.85,22.983075423746435,9.388377248425652,7.560342875025661,0.1513982496206211,104.09103860634832,947.1016367290922,4.920645593542595,10.185408557432538,61,99.66992689851773,2.2725727181444295,54.68009026683677,23.16715542521994
