metric,unit,phase,part,operator,repeat,reference_value,measured_value,resolution,engineering_tolerance
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_A,1,0.11439830901230498,0.02,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_A,2,0.11439830901230498,0.09,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_A,3,0.11439830901230498,0.13,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_B,1,0.11439830901230498,0.22,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_B,2,0.11439830901230498,0.13,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_B,3,0.11439830901230498,0.33,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_C,1,0.11439830901230498,0.07,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_C,2,0.11439830901230498,0.02,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P01,OP_C,3,0.11439830901230498,0.01,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_A,1,0.21165927127906617,0.17,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_A,2,0.21165927127906617,0.21,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_A,3,0.21165927127906617,0.14,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_B,1,0.21165927127906617,0.26,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_B,2,0.21165927127906617,0.27,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_B,3,0.21165927127906617,0.23,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_C,1,0.21165927127906617,0.22,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_C,2,0.21165927127906617,0.12,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P02,OP_C,3,0.21165927127906617,0.19,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_A,1,0.34477565086540873,0.4,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_A,2,0.34477565086540873,0.29,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_A,3,0.34477565086540873,0.27,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_B,1,0.34477565086540873,0.47000000000000003,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_B,2,0.34477565086540873,0.49,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_B,3,0.34477565086540873,0.39,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_C,1,0.34477565086540873,0.27,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_C,2,0.34477565086540873,0.22,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P03,OP_C,3,0.34477565086540873,0.2,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P04,OP_A,1,0.4327532618160901,0.45,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P04,OP_A,2,0.4327532618160901,0.47000000000000003,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P04,OP_A,3,0.4327532618160901,0.39,0.01,1.0
Edge Void Area Ratio (%),%,Before recipe lock,P04,OP_B,1,0.4327532618160901,0.41000000000000003,0.01,1.0
