term,response,mean_effect,ci95_low,ci95_high,whole_plot_effects_n,direction_stable,note
A_vacuum,chip_offset_p95_um,2.1182056726002783,1.8480214162777813,2.3883899289227752,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
A_vacuum,cycle_time_index,-4.0312500484106515,-4.329405275390108,-3.7330948214311945,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
A_vacuum,edge_void_pct,0.48084983874209575,0.34241789421318625,0.5907451651942375,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
A_vacuum,warpage_um,-3.097060157384419,-10.869344157584408,5.058912099238995,4,False,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
A_vacuum:B_zone_range,chip_offset_p95_um,0.48087335143167476,-0.6612440638687467,1.6229907667320962,4,False,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
A_vacuum:B_zone_range,cycle_time_index,0.037751885266605,-0.17257273749872226,0.2146376348199155,4,False,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
A_vacuum:B_zone_range,edge_void_pct,0.1174322751272241,-0.09841003968874285,0.33327458994319104,4,False,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
A_vacuum:B_zone_range,warpage_um,2.4150890355246304,-4.030230958689884,14.233120309282754,4,False,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
B_zone_range,chip_offset_p95_um,7.972848090651615,5.927598439410563,10.027248260948392,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
B_zone_range,cycle_time_index,0.051929309939712454,-0.267337067173699,0.4716891835388104,4,False,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
B_zone_range,edge_void_pct,0.990567621721959,0.952818441080366,1.049560003429792,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
B_zone_range,warpage_um,125.92436968579571,120.42074160746313,129.53730431185556,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
C_closing_speed,chip_offset_p95_um,2.701758860252488,2.128617071765012,3.5458007203896056,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
C_closing_speed,cycle_time_index,-4.202200270688028,-4.39732423132212,-4.042984995165625,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
C_closing_speed,edge_void_pct,0.24455855451833797,0.21092286283319606,0.29413457694614187,4,True,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
C_closing_speed,warpage_um,-1.662075288890719,-10.937420712235337,7.613270134453899,4,False,"whole-plot bootstrap; n=4 blocks, uncertainty remains large"
