condition,role,emc_lot,film_roughness_class,vacuum_base_kpa_abs,zone_range_c,closing_speed_mm_s,replicate,edge_void_pct,chip_offset_p95_um,warpage_um,cycle_time_index,all_ctq_pass
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,1,1.8067128496018068,42.74897245025099,924.7145758889376,101.98060978354479,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,2,1.6665689753519852,41.412363683711774,937.438967924843,101.89126716568245,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,3,1.751750872775901,43.34368900953686,945.96162197725,101.69316026507879,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,4,1.7843460487751461,42.41948371717084,938.6739888423831,100.7364906831448,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,5,1.8642721243281906,39.87728123999924,902.987680055092,101.26009678960135,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,6,1.7792150367298807,39.592575819337824,923.7854958591198,101.65766873868942,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,7,1.7681892072153351,39.36241839297755,902.3853403783695,101.2731666047684,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,8,1.6880804254762358,41.43628192579133,907.9130912137882,101.0263485954928,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,9,1.7564377848755446,40.76657664132768,938.9789174042354,101.65907662618257,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,10,1.7529003238480316,41.026706366653265,907.6054796587794,101.52985590135019,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,11,1.786943569206406,40.25011125423086,930.7034758010568,102.20770163733343,False
Baseline scenario,Before,M03,Textured,5.5,2.5,1.0,12,1.8129082820509663,41.24373453476604,942.5359617965671,101.80420783352248,False
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,1,0.367751139002054,16.85984453618325,673.5262412858325,104.34244662364662,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,2,0.33697953150188936,15.170192448742895,671.3104519165989,103.97644919269851,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,3,0.4956915752211565,15.818912730181344,654.2455517085023,103.91483888005101,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,4,0.40527450627799716,17.618331755104297,645.6876678345108,104.01753598008386,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,5,0.4541599798022229,16.645501324969015,651.7542975717088,102.96504205943327,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,6,0.3684191051097136,15.968891484176574,637.361225256862,104.64355172015553,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,7,0.47323889752048176,16.34862808310139,646.4454515051353,104.39664920741545,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,8,0.3945700853826658,16.15051071242327,662.0797888899217,104.31097301813443,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,9,0.4061492244225676,16.93578394165606,678.4699841176501,103.69318791446179,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,10,0.3567224589546269,18.444698987797096,660.7837498882585,104.46464243604701,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,11,0.3445904396241391,15.932270207147543,624.2645054133533,103.92063512813333,True
Recommended,Robust candidate,M02,Smooth,4.5,1.5,0.85,12,0.3606086318406007,19.01157356689857,660.2307853415592,104.2183188395466,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,1,0.458568552498804,17.31106089794352,666.8371343184737,104.42059640414297,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,2,0.46886137508647485,17.40920888165274,666.2466859080704,103.5283216463807,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,3,0.44032436077388404,18.148228585596097,680.1750123598378,103.98801595617054,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,4,0.3927589136871532,17.105103118006266,650.291630146094,104.08992735529516,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,5,0.38659965735650853,16.481792669158306,659.8352119522185,104.04184835162988,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,6,0.4915355177990856,17.107604324434625,659.4502407861938,103.2630076293983,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,7,0.40137173369218787,15.934400767223003,658.4746156280657,103.46457309755009,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,8,0.40276340152551315,17.058775216995254,638.7591272661311,103.03287070240782,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,9,0.3445090499853408,17.542674221884603,657.4292104202508,103.74206275946932,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,10,0.41977539691735305,16.418712832172574,669.1292253709804,103.52060982959306,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,11,0.4138581506310504,17.815934668899338,653.4076205247135,103.25630030050074,True
Vacuum boundary,Robust boundary,M02,Smooth,4.75,1.5,0.85,12,0.32314273437542795,17.75484371887762,647.9971109052107,102.91187985817874,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,1,0.3489305396502384,15.725248765361505,669.1407975468964,103.16884835384465,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,2,0.3178595661653782,18.904031350088786,639.1749111625098,103.65872938415276,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,3,0.4012903582692762,19.076825099755226,639.9962192335289,102.83144483950137,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,4,0.42682108407297276,16.59846744147068,669.522022637041,103.20565688519359,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,5,0.3790129291475592,17.077669173903747,663.5620122697738,103.44167687437186,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,6,0.28710513790842496,18.011238501334244,679.0544622107915,103.45308581051361,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,7,0.39945406035206776,17.497909711210216,670.7500391851971,103.00953951835017,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,8,0.43465392657816665,16.549719128987714,648.668151754668,103.0912636923983,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,9,0.3699513576310583,16.54762448526155,689.369767897599,103.81450495936102,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,10,0.42632757295488766,17.605411365250358,664.894673061304,103.68910567810192,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,11,0.40691382565559353,18.59168138024209,650.0713505561295,104.04971437803268,True
Speed boundary,Robust boundary,M02,Smooth,4.5,1.5,0.9,12,0.35902962011157447,18.86462322794529,661.7203088627459,103.78995077738585,True
Zone outside,Outside window challenge,M02,Smooth,4.5,1.75,0.85,1,0.515495184548583,18.469116052916768,693.4485856454028,104.47783407520714,False
Zone outside,Outside window challenge,M02,Smooth,4.5,1.75,0.85,2,0.4126368862025577,17.325705168504758,655.2219634418375,103.60977700568806,True
Zone outside,Outside window challenge,M02,Smooth,4.5,1.75,0.85,3,0.48436402766368014,18.082007141251523,657.9234543764007,103.96474912144005,True
