run_order,whole_plot,emc_lot,film_roughness_class,film_Ra_um_project_scenario,is_center,A_vacuum_code,B_zone_range_code,C_closing_speed_code,vacuum_base_kpa_abs,zone_range_c,closing_speed_mm_s,edge_void_pct,chip_offset_p95_um,warpage_um,cycle_time_s,notes
1,WP1,M03,Smooth,0.25,0,-1,1,1,4.5,3.5,1.15,,,,,
2,WP1,M03,Smooth,0.25,0,-1,-1,-1,4.5,1.5,0.85,,,,,
3,WP1,M03,Smooth,0.25,0,1,-1,-1,6.5,1.5,0.85,,,,,
4,WP1,M03,Smooth,0.25,0,1,1,1,6.5,3.5,1.15,,,,,
5,WP1,M03,Smooth,0.25,1,0,0,0,5.5,2.5,1.0,,,,,
6,WP1,M03,Smooth,0.25,0,-1,1,-1,4.5,3.5,0.85,,,,,
7,WP1,M03,Smooth,0.25,0,1,1,-1,6.5,3.5,0.85,,,,,
8,WP1,M03,Smooth,0.25,0,1,-1,1,6.5,1.5,1.15,,,,,
9,WP1,M03,Smooth,0.25,0,-1,-1,1,4.5,1.5,1.15,,,,,
10,WP2,M02,Textured,0.65,0,-1,1,1,4.5,3.5,1.15,,,,,
11,WP2,M02,Textured,0.65,0,-1,-1,1,4.5,1.5,1.15,,,,,
12,WP2,M02,Textured,0.65,1,0,0,0,5.5,2.5,1.0,,,,,
13,WP2,M02,Textured,0.65,0,1,1,1,6.5,3.5,1.15,,,,,
14,WP2,M02,Textured,0.65,0,-1,-1,-1,4.5,1.5,0.85,,,,,
15,WP2,M02,Textured,0.65,0,-1,1,-1,4.5,3.5,0.85,,,,,
16,WP2,M02,Textured,0.65,0,1,1,-1,6.5,3.5,0.85,,,,,
17,WP2,M02,Textured,0.65,0,1,-1,-1,6.5,1.5,0.85,,,,,
18,WP2,M02,Textured,0.65,0,1,-1,1,6.5,1.5,1.15,,,,,
19,WP3,M02,Smooth,0.25,1,0,0,0,5.5,2.5,1.0,,,,,
20,WP3,M02,Smooth,0.25,0,-1,-1,-1,4.5,1.5,0.85,,,,,
21,WP3,M02,Smooth,0.25,0,-1,1,-1,4.5,3.5,0.85,,,,,
22,WP3,M02,Smooth,0.25,0,1,1,1,6.5,3.5,1.15,,,,,
23,WP3,M02,Smooth,0.25,0,-1,1,1,4.5,3.5,1.15,,,,,
24,WP3,M02,Smooth,0.25,0,1,-1,1,6.5,1.5,1.15,,,,,
25,WP3,M02,Smooth,0.25,0,1,1,-1,6.5,3.5,0.85,,,,,
26,WP3,M02,Smooth,0.25,0,-1,-1,1,4.5,1.5,1.15,,,,,
27,WP3,M02,Smooth,0.25,0,1,-1,-1,6.5,1.5,0.85,,,,,
28,WP4,M03,Textured,0.65,0,-1,1,-1,4.5,3.5,0.85,,,,,
29,WP4,M03,Textured,0.65,0,1,1,1,6.5,3.5,1.15,,,,,
30,WP4,M03,Textured,0.65,0,-1,-1,1,4.5,1.5,1.15,,,,,
31,WP4,M03,Textured,0.65,0,-1,1,1,4.5,3.5,1.15,,,,,
32,WP4,M03,Textured,0.65,1,0,0,0,5.5,2.5,1.0,,,,,
33,WP4,M03,Textured,0.65,0,1,1,-1,6.5,3.5,0.85,,,,,
34,WP4,M03,Textured,0.65,0,1,-1,-1,6.5,1.5,0.85,,,,,
35,WP4,M03,Textured,0.65,0,-1,-1,-1,4.5,1.5,0.85,,,,,
36,WP4,M03,Textured,0.65,0,1,-1,1,6.5,1.5,1.15,,,,,
